Date,Store,Location,Brand,Item,Color,Size,Material,Country of Origin,Price,Notes,Recommended Shipping
2025-11-17,Value Village Boutique,Downtown Granville,Jonathan Simkhai,Sweater,Mustard yellow,M,100% cashmere,,7.49,,Poly mailer
2025-11-17,Value Village Boutique,Downtown Granville,Lord & Taylor,Turtleneck sweater,Black,XXL,Cashmere,Bangladesh,10.00,Approximate price,Poly mailer (large)
2025-11-17,Value Village Boutique,Downtown Granville,Ellen Tracy,Sweater with button collar detail,Aubergine,L,100% Merino wool,Cambodia,10.00,Approximate price,Poly mailer
2025-11-17,Value Village Boutique,Downtown Granville,Renee Tener for Jeanne Pierre,Cardigan,Magenta,L,Lamb's wool,Hong Kong,10.00,Approximate price,Poly mailer
2025-12-18,Value Village,Queensborough,Anne Klein 2,Collarless blazer,Cream,8,100% silk,,12.00,,Poly mailer
2025-12-18,Value Village,Queensborough,Aquascutum,Wool blazer,Cream,Unspecified,Wool,,20.00,,Poly mailer
2025-12-18,Value Village,Queensborough,Holt Renfrew,Velvet jacket with satin seam bindings and toggle closures,Black,M,Velvet,,10.00,,12" x 10" x 4" box
2025-12-20,MCC Center Thrift Shop,Abbotsford,The Alpaca Experience by Du Store Alpaca,Ribbed cardigan,Aubergine,XS,100% alpaca,,4.50,,Poly mailer
2025-12-20,MCC Center Thrift Shop,Abbotsford,Jones New York Separates,Ribbed turtleneck,Aubergine,,100% Merino wool,China,12.00,,Poly mailer
2025-12-26,Private Sale,Edmonton,Noelle Rouine Paris,Peur Spécifique sweater,Burgundy,,20% cashmere/80% wool,Hong Kong,5.00,Approximate price,Poly mailer
2025-12-26,Private Sale,Edmonton,Russ Signature,Wool cardigan,,2X,Wool,Hong Kong,5.00,"Approximate price; possibly felted/shrunken",Poly mailer (large)
2025-12-26,Private Sale,Edmonton,Ellen Tracy,Sweater with button collar detail,Aubergine,L,100% Merino wool,Cambodia,10.00,Approximate price,Poly mailer
2025-12-27,Salvation Army,Edmonton,Melanie Lyne,Coat with black buttons,Bright red,16,Wool/cashmere,,20.00,Approximate date,16" x 12" x 4" box
2026-01-02,Salvation Army,Coquitlam,Danier,Leather blazer,Red,M,Leather,Canada,20.00,,14" x 10" x 4" box
2026-01-08,Value Village,Queensborough,Giannini Fashion Collection,Coat,Tan,S,75% cashmere/25% wool,,27.00,,16" x 12" x 4" box
2026-01-08,Value Village,Queensborough,Gloverall,Overcoat with hood and wooden toggle buttons,Tan,British 34,,,21.00,,16" x 14" x 6" box
2026-01-08,Value Village,Queensborough,Pat Perkins Original,Long overcoat with red/green tartan detail and scarf,Cream,S,Wool,England,10.49,,16" x 12" x 4" box
2026-01-08,Value Village,Queensborough,Opera,Leather jacket,Black,Korean 15,Leather,Korea,20.00,,14" x 10" x 4" box
2026-01-08,Value Village,Queensborough,Lucian Matis,Cocktail dress with beaded collar and cuff detail,Black,,Poly/rayon,,28.00,,12" x 10" x 4" box
2026-01-08,Value Village,Queensborough,Moiselle,Silk dress with polyester sequin detail,Aubergine,38,Silk,,23.00,,12" x 10" x 4" box
2026-01-08,Value Village,Queensborough,Bardot,Lace over nude sleeveless cocktail dress,Black,UK 16,Lace,,20.49,,Poly mailer
2026-01-08,Value Village,Queensborough,Aidan Mattox,Lace cocktail dress,Black,EU 32,Lace,,23.00,,Poly mailer
2026-01-08,Value Village,Queensborough,Eileen Fisher,Oversized sweater,Red,XL,80% silk/20% cotton,,11.79,,Poly mailer (large)
2026-01-08,Value Village,Queensborough,Episode by Carolyn Freeman,Cardigan,Chocolate brown,M,70% wool/30% cashmere,Hong Kong,16.49,,Poly mailer
2026-01-09,RCH Auxiliary Thrift Store,,Fly London,Pumps,Beige,EU 38,,Portugal,25.00,,12" x 8" x 4" box
2026-01-09,RCH Auxiliary Thrift Store,,Frye,Knee-high heeled boots,Cognac,~10,Leather,,37.50,,16" x 8" x 6" boot box
2026-01-09,RCH Auxiliary Thrift Store,,Ingledews,Wingtip high-cut Oxfords,Gray/black,EU 39,,Italy,8.00,,12" x 8" x 4" box
2026-01-09,RCH Auxiliary Thrift Store,,Ingledews,Heeled booties,Distressed gunmetal,EU 39,,Italy,6.00,,12" x 8" x 4" box
2026-01-09,RCH Auxiliary Thrift Store,,Miz Mooz,Zip-up ankle boots with eyelet detail,,9,,,12.00,,12" x 8" x 4" box
2026-01-10,St Barnabas Thrift Store,,Carlo Rosetti,Lace-up Oxford heels,Burgundy/purple,6.5,,Mexico,15.00,,12" x 8" x 4" box
2026-01-11,RAPS Thrift Store,Granville Avenue,Think!,Heeled ankle boots with eyelet detail,Oxblood,35,,Italy,4.00,,12" x 8" x 4" box
2026-01-11,RAPS Thrift Store,Granville Avenue,Wonders,Heeled shooties,Black,40,,Spain,4.00,,12" x 8" x 4" box
2026-01-11,RAPS Thrift Store,Granville Avenue,Chie Mihara,Mary Janes with suede floral detail,Black,38,,Spain,4.00,,12" x 8" x 4" box
2026-01-11,RAPS Thrift Store,Granville Avenue,Marc Aurel,Bouclé coat,Bright spring green,36,Wool/cotton/angora/silk/linen/viscose blend,Germany,12.00,,16" x 12" x 4" box
2026-01-11,Steveston Treasure Cottage,,Sesto Golf by Sherry,Golf shoes with woven detail,Cognac,Men's 9.5,Leather,Italy,30.00,,14" x 10" x 5" box
2026-01-11,Steveston Treasure Cottage,,John Fluevog,Dalai ankle boots with gray laced-up detail,Black,5,Leather,,20.00,,12" x 8" x 4" box
2026-01-11,Richmond Hospital Healthcare Auxiliary Thrift Shop,,Danier,Leather jacket with gray zippers and lining,Black,XS,Leather,,12.00,,14" x 10" x 4" box
2026-01-11,Richmond Hospital Healthcare Auxiliary Thrift Shop,,,Riding boots,Black,37,Leather,Italy,12.00,,16" x 8" x 6" boot box
2026-01-11,Richmond Hospital Healthcare Auxiliary Thrift Shop,,Evan Picone,Pumps with square toe,Black,7.5 narrow,,Spain,6.00,,12" x 8" x 4" box
2026-01-11,Richmond Hospital Healthcare Auxiliary Thrift Shop,,Fera Giacomo,Pumps with triple Mary Jane strap detail,Black,38,,Italy,18.00,,12" x 8" x 4" box
2026-01-11,Value Village,Granville Avenue,Roots,Tuff ankle boots,Black,6.5,,,35.00,,12" x 8" x 4" box
2026-01-11,Value Village,Granville Avenue,Babaton,The Connor coat,Camel,S,100% Italian wool,,38.49,,16" x 12" x 4" box
2026-01-11,Value Village,Granville Avenue,Escada by Margaretha Ley,Blazer with black buttons,Red,40,100% cashmere,Germany,18.00,,14" x 10" x 4" box
2026-01-11,Value Village,Granville Avenue,Escada by Margaretha Ley,Blazer with black velvet collar and epaulette details,Aubergine,38,98% wool/2% elastane,Germany,18.00,,14" x 10" x 4" box
2026-01-11,Value Village,Granville Avenue,Nanette Lepore,Wool frock coat,Olive green,10,Wool,,45.00,NWT,16" x 12" x 4" box
2026-01-11,Value Village,Granville Avenue,UB Leather Collection,Wool coat,Cream,S,Wool,China,35.00,,16" x 12" x 4" box
2026-01-11,Value Village,Granville Avenue,Highland Queen,Pure wool blazer,,M,Wool,Canada,15.00,,Poly mailer
